geometry,OBJECTID,NAME,LABEL,Shape_Length
"LINESTRING (-27.677 45.985001, -27.601999 45.983002)",113,Eurasian:North American,Transform Boundary,0.07502739575702813
"LINESTRING (-130.072998 45.943001, -130.050995 46.195999, -129.917007 46.229, -129.802994 46.432999)",114,Pacific:Juan de Fuca,Divergent Boundary,0.6256425183825708
"LINESTRING (-129.869003 45.896, -130.072998 45.943001)",115,Pacific:Juan de Fuca,Transform Boundary,0.20933929810111904
"LINESTRING (-27.698999 45.882999, -27.697001 45.936001, -27.677 45.985001)",116,Eurasian:North American,Divergent Boundary,0.1059635332753203
"LINESTRING (-27.739 45.877998, -27.698999 45.882999)",117,Eurasian:North American,Transform Boundary,0.04031232974177973
"LINESTRING (-27.825001 45.526001, -27.795 45.598999, -27.773001 45.700001, -27.759001 45.828999, -27.739 45.877998)",118,Eurasian:North American,Divergent Boundary,0.36497203036540854
"LINESTRING (-27.877001 45.535999, -27.825001 45.526001)",119,Eurasian:North American,Transform Boundary,0.052952537688895865
"LINESTRING (-27.871 45.456001, -27.862 45.48, -27.864 45.521, -27.877001 45.535999)",120,Eurasian:North American,Divergent Boundary,0.08652910528953611
"LINESTRING (-27.924 45.466, -27.871 45.456001)",121,Eurasian:North American,Transform Boundary,0.05393433995271367
"LINESTRING (-27.937 45.337002, -27.934999 45.389999, -27.938 45.43, -27.924 45.466)",122,Eurasian:North American,Divergent Boundary,0.1317743578503393
"LINESTRING (-27.972 45.344002, -27.937 45.337002)",123,Eurasian:North American,Transform Boundary,0.03569298148616503
"LINESTRING (-27.993999 45.098, -27.988001 45.162998, -27.986 45.215, -27.979 45.279999, -27.972 45.344002)",124,Eurasian:North American,Divergent Boundary,0.24707438265168602
"LINESTRING (-28.076 45.126999, -27.993999 45.098)",125,Eurasian:North American,Transform Boundary,0.0869774753052429
"LINESTRING (-28.157 44.919998, -28.139 44.967999, -28.115 45.029999, -28.1 45.066002, -28.076 45.126999)",126,Eurasian:North American,Divergent Boundary,0.22229903446693078
"LINESTRING (-28.106001 44.909, -28.157 44.919998)",127,Eurasian:North American,Transform Boundary,0.052171037751897714
"LINESTRING (-130.479996 44.589001, -130.367004 44.93, -130.069 45.285, -130.186996 45.414001, -129.936005 45.736, -129.869003 45.896)",128,Pacific:Juan de Fuca,Divergent Boundary,1.5792849326961413
"LINESTRING (-28.367001 44.183998, -28.32 44.306999, -28.282 44.404999, -28.257 44.518002, -28.215 44.627998, -28.167999 44.75, -28.143999 44.812, -28.142 44.863998, -28.106001 44.909)",129,Eurasian:North American,Divergent Boundary,0.7771530235625683
